"","Ano","UF","classe","Sexo","Valor_Proj","Valor_Aferido","Comparativo"
"383",2011,"MG","[10,15)","F",825734.000000001,810545,0.0183945435212801
"384",2011,"MG","[15,20)","F",860576,856226,0.00505475402521156
"385",2011,"MG","[20,25)","F",867956,854971,0.014960435782459
"386",2011,"MG","[25,30)","F",866673,852057,0.0168644921440956
"387",2011,"MG","[30,35)","F",829053,825854,0.00385861941275124
"388",2011,"MG","[35,40)","F",743816,728195,0.0210011615775942
"389",2011,"MG","[40,45)","F",713440,707204,0.0087407490468715
"390",2011,"MG","[45,50)","F",684090,676185,0.0115554970837166
"391",2011,"MG","[50,55)","F",609246,597508,0.0192664375309807
"392",2011,"MG","[55,60)","F",505020,500021,0.0098986178765194
"393",2011,"MG","[60,65)","F",397787,391470,0.0158803580810839
"394",2011,"MG","[65,70)","F",304574,303541,0.00339162239718426
"395",2011,"MG","[70,75)","F",242273,234170,0.0334457409616423
"396",2011,"MG","[75,80)","F",176992,177308,-0.00178539143012097
"397",2011,"MG","[80,85)","F",117007,116826,0.00154691599647884
"398",2011,"MG","[85,90)","F",62061,59901,0.0348044665732107
"399",2011,"MG","90+","F",35531,34593,0.0263994821423546
"400",2011,"MG","[0,5)","M",674778,643266,0.0466998034909252
"401",2011,"MG","[05.10)","M",745530,705312,0.0539455152710155
"402",2011,"MG","[10,15)","M",856221.999999999,839055,0.0200497067349349
"403",2011,"MG","[15,20)","M",878645.999999999,873896,0.00540604521047078
"404",2011,"MG","[20,25)","M",883627,868312,0.0173319737853187
"405",2011,"MG","[25,30)","M",867827,853884,0.0160665662626311
"406",2011,"MG","[30,35)","M",815534,811210,0.00530204749280839
"407",2011,"MG","[35,40)","M",716307,700838,0.0215954890849873
"408",2011,"MG","[40,45)","M",682184,676655,0.00810485147702103
"409",2011,"MG","[45,50)","M",644766,636526,0.0127798302019649
"410",2011,"MG","[50,55)","M",570712,561282,0.0165232201180278
"411",2011,"MG","[55,60)","M",464470,456772,0.0165737291967185
"412",2011,"MG","[60,65)","M",358265,354140,0.0115138235663544
"413",2011,"MG","[65,70)","M",264640,262230,0.00910671100362779
"414",2011,"MG","[70,75)","M",199578,193050,0.0327090160238104
"415",2011,"MG","[75,80)","M",136254,135016,0.00908597178798378
